0,0
0.5,0
1,0
1.5,0
2,0
2.5,-9.4552e-07
3,4.3677e-05
3.5,3.7603e-05
4,0
4.5,0
5,0
5.5,0
6,0
6.5,0
7,0
7.5,0
8,2.4107e-05
8.5,2.1625e-05
9,5.5314e-05
9.5,5.9259e-05
10,0
10.5,0
11,0
11.5,0
12,0
12.5,0
13,0
13.5,0
14,1.4817e-05
14.5,-6.8953e-06
15,2.7169e-05
15.5,8.1249e-05
16,0
16.5,0
17,0
17.5,0
18,0
18.5,0
19,0
19.5,0
20,5.624e-05
20.5,1.7781e-05
21,1.0065e-05
21.5,5.0443e-05
22,0
22.5,0
23,0
23.5,0
24,0
24.5,0
25,0
25.5,0
26,6.4115e-05
26.5,2.9097e-05
27,-4.0341e-06
27.5,4.5984e-05
28,0
28.5,0
29,0
29.5,0
30,0
30.5,0
31,0
31.5,0
32,5.9927e-05
32.5,3.9471e-05
33,1.5311e-05
33.5,6.9888e-05
34,0
34.5,0
35,0
35.5,0
36,0
36.5,0
37,0
37.5,0
38,0.00012536
38.5,4.3685e-05
39,4.8539e-06
39.5,2.1218e-05
40,-9.7114e-06
40.5,-8.3393e-06
41,-1.5559e-05
41.5,0.00010651
42,6.7356e-06
42.5,-0.00011668
43,-6.2992e-05
43.5,-4.5016e-05
44,-8.9705e-05
44.5,2.2813e-05
45,-2.951e-05
45.5,6.1822e-06
46,1.7817e-05
46.5,2.3384e-05
47,2.6437e-05
47.5,2.0496e-05
48,3.6549e-06
48.5,3.2665e-07
49,-3.2836e-08
49.5,4.973e-05
50,4.749e-05
