0,0
0.5,0
1,0
1.5,0
2,0
2.5,5.5307e-06
3,4.24e-05
3.5,3.6455e-05
4,0
4.5,0
5,0
5.5,0
6,0
6.5,0
7,0
7.5,0
8,2.8371e-05
8.5,2.3433e-05
9,5.7351e-05
9.5,5.8043e-05
10,0
10.5,0
11,0
11.5,0
12,0
12.5,0
13,0
13.5,0
14,1.7094e-05
14.5,-3.8121e-06
15,2.5168e-05
15.5,7.8019e-05
16,0
16.5,0
17,0
17.5,0
18,0
18.5,0
19,0
19.5,0
20,5.4787e-05
20.5,2.1695e-05
21,1.5322e-05
21.5,4.8979e-05
22,0
22.5,0
23,0
23.5,0
24,0
24.5,0
25,0
25.5,0
26,5.8863e-05
26.5,2.8669e-05
27,-1.9246e-07
27.5,4.4055e-05
28,0
28.5,0
29,0
29.5,0
30,0
30.5,0
31,0
31.5,0
32,6.0555e-05
32.5,4.3382e-05
33,2.2549e-05
33.5,6.9301e-05
34,0
34.5,0
35,0
35.5,0
36,0
36.5,0
37,0
37.5,0
38,6.9034e-05
38.5,4.8607e-05
39,7.2483e-05
39.5,8.1265e-05
40,0
40.5,0
41,0
41.5,0
42,0
42.5,0
43,0
43.5,0
44,4.3551e-05
44.5,2.8166e-05
45,-2.1863e-06
45.5,5.0791e-06
46,7.6642e-05
46.5,3.247e-05
47,2.6501e-05
47.5,2.0225e-05
48,7.6229e-06
48.5,1.155e-05
49,3.3209e-05
49.5,7.0711e-05
50,6.2984e-05
